Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Демʼянюк,Соломія,Захарівна,жіноча,1945-12-04,Етнограф,село Білозерське,"сквер Інглезі, буд. 787 кв. 282, Золотоноша, 98840",019 295 61 52,atroshchenkomykhailo@example.net
Цюцюра,Гаврило,Григорович,чоловіча,2004-08-20,Фотограф,місто Золоте,"набережна Вапняний 2-й, буд. 462, Герца, 54846",887-42-18,ibaran@example.net
Скоробогатько,Борислав,Миколайович,чоловіча,1944-07-30,Лікар,хутір Судова Вишня,"сквер Сміливий, буд. 722, Решетилівка, 11703",918-38-05,vshapoval@example.org
Захаренко,Гліб,Григорович,чоловіча,1938-09-17,Модель,хутір Заставна,"вулиця Лютневий 2-й, буд. 625 кв. 0, Чигирин, 75682",921-90-99,opanasenkohanna@example.org
Масоха,Геннадій,Леонідович,чоловіча,1960-03-10,Палеонтолог,хутір Сокаль,"провулок Літературна, буд. 00, Лутугине, 53317",080 084-63-53,khorishkozorian@example.net
Чередник,Олесь,Тарасович,чоловіча,1999-05-16,Парфюмер,хутір Прилуки,"набережна Наявний 6-й, буд. 528 кв. 8, Коломия, 79314",+380 56 720-08-22,vlokhvalentyna@example.org
Абраменко,Венедикт,Євгенович,чоловіча,1998-04-07,Скульптор,місто Бобринець,"проспект Недєліна, буд. 0 кв. 4, Остер , 72425",080 391-03-49,iaryna50@example.com
Василашко,Христина,Дмитрівна,жіноча,1950-01-16,Стропальник,село Чистякове,"набережна Чернівецький, буд. 2 кв. 6, Дрогобич, 26275",069 316-43-31,malykvitalii@example.org
Василечко,Алла,Ярославівна,жіноча,1975-03-20,Етнограф,село Борислав,"площа Люстдорфський, буд. 9 кв. 258, Перемишляни, 22721",+380 26 530-55-99,ivashchenkodmytro@example.org
Єресько,Богданна,Миколаївна,жіноча,1988-01-20,Слідчий,село Володимир-Волинський,"шосе Пересипська 7-ма, буд. 313 кв. 923, Апостолове, 79315",071 633 05 38,maryna53@example.com
Зінкевич,Камілла,Дмитрівна,жіноча,1997-12-23,Гицель,хутір Малин,"набережна Гвоздичний, буд. 80 кв. 62, Путивль, 34859",+380 76 273-50-79,martymyshyna@example.com
Симоненко,Аліна,Миколаївна,жіноча,2006-08-21,Ветеринар,село Чигирин,"площа Сєрова, буд. 9 кв. 2, Кривий Ріг, 23470",000 244-09-03,boryslavustenko@example.net
Ґерета,Ярослава,Миколаївна,жіноча,1972-06-11,Каскадер,село Добромиль,"шосе Героїв прикордонників, буд. 300, Самбір, 76530",381 15 74,zlatoslavasachenko@example.org
Верховинець,Веніямин,Захарович,чоловіча,1984-11-13,Провізор,хутір Ірміно,"вулиця Карантинна, буд. 60, Рені, 41511",+380 20 346 29 37,bohuslav06@example.org
Венгринович,Леопольд,Тарасович,чоловіча,1953-04-10,Антрополог,селище Вільнянськ,"проспект Теліги Олени, буд. 0 кв. 23, Гребінка, 53262",+380 11 277-31-37,mykytadrozd@example.net
Зінкевич,Богдан,Дмитрович,чоловіча,2004-10-26,Модель,село Буськ,"шосе Софіївська, буд. 07 кв. 5, Зеленодольськ, 69319",+380 (99) 108-23-15,odubyna@example.net
Валенко,Христина,Михайлівна,жіноча,1949-05-29,Пілот,місто Славутич,"узвіз Центральний аеропорт, буд. 21 кв. 58, Угнів, 12575",+380 08 990-83-03,anzhelanehoda@example.net
Ващенко,Ада,Костянтинівна,жіноча,1969-03-13,Патологоанатом,селище Заліщики,"провулок Варненська, буд. 126, Бучач, 80805",+380 42 023-35-00,mkomar@example.org
Єременко,Омелян,Ярославович,чоловіча,1989-08-28,Письменник,село Берестечко,"проспект Водопровідний 3-й, буд. 9 кв. 505, Кривий Ріг, 56630",476-75-35,alevtynandriishyn@example.com
Доценко,Любов,Тарасівна,жіноча,2006-12-20,Фотограф,місто Корець,"вулиця Орловська, буд. 0, Кропивницький, 17633",+380 90 103-29-79,hennadiipoltavets@example.com
Кабаненко,Хома,Ярославович,чоловіча,1981-12-28,Графік,селище Кіцмань,"шосе Старопортофранківська, буд. 2 кв. 1, Березне, 20856",+380 46 112-41-18,dzhunstefan@example.net
Скопенко,Тереза,Іванівна,жіноча,1960-06-24,Гірничий інженер,село Ніжин,"парк Новгородська, буд. 119, Генічеськ, 65953",247-88-13,nkylymnyk@example.com
Коваленко,Мілена,Костянтинівна,жіноча,1995-02-25,Фізик,місто Географія Вільнянська,"проспект Аеропортівський 6-й, буд. 831, Інкерман, 33198",+380 91 165-54-26,skorykoleksa@example.org
Адамчук,Оксана,Андріївна,жіноча,1974-08-13,Бізнесмен,місто Верхівцеве,"шосе Таїрова, буд. 519, Алмазна, 34825",+380 76 862-36-02,svitlanababych@example.net
Василенко,Камілла,Михайлівна,жіноча,1942-01-20,Професор,хутір Ананьїв,"сквер Амурський 4-й, буд. 373 кв. 84, Макіївка, 71850",+380 55 069-08-00,volodymyra45@example.com
Бабій,Адам,Русланович,чоловіча,2006-07-16,Няня,село Сміла,"проспект Головна, буд. 14, Кам'янське, 92796",712 63 98,tzhurba@example.com
Дацюк,Максим,Сергійович,чоловіча,1946-10-23,Кушнір,місто Хоростків,"набережна Прокатна, буд. 352 кв. 003, Суми, 23937",+380 09 029 23 78,liubov49@example.com
Бакуменко,Марія,Іванівна,жіноча,1944-02-29,Астроном,селище Попасна,"площа Свободи, буд. 692 кв. 63, Чистякове, 31995",+380 24 053-17-28,venedyktkhomenko@example.net
Василечко,Спас,Леонідович,чоловіча,1983-03-13,Професор,село Корсунь-Шевченківський,"набережна Амурський 4-й, буд. 2, Старий Крим, 93648",+380 97 647-69-83,uromanenko@example.org
Шморгун,Данило,Захарович,чоловіча,2004-03-27,Хімік,село Карлівка,"провулок Шовкуненка, буд. 48 кв. 022, Старокостянтинів, 41205",+380 37 506-47-97,zholoborodko@example.com
Талан,Леонід,Олександрович,чоловіча,1981-11-11,Астрофізик,село Городенка,"вулиця Сергія Ядова, буд. 66, Ватутіне, 60006",626 27 38,okarmaliuk@example.org
Хмара,Ярослав,Леонідович,чоловіча,1970-06-12,Філолог,місто Березань ,"набережна Сирітський, буд. 354 кв. 31, Ананьїв, 93157",722-57-81,andreikoorkhyp@example.org
Ґерус,Опанас,Федорович,чоловіча,1934-07-19,Парфюмер,місто Яготин,"узвіз Аеродромний 1-й, буд. 37 кв. 143, Волочиськ, 87151",+380 (42) 047-58-27,iaremasliusar@example.org
Бандура,Павло,Андрійович,чоловіча,1932-01-21,Ветеринар,хутір Ірпінь,"проспект Травневий 3-й, буд. 174 кв. 1, Здолбунів, 91203",055 893-00-63,ierchenkoaaron@example.com
Яковенко,Сніжана,Сергіївна,жіноча,1950-06-09,Намотувальник,місто Тараща,"сквер Водопровідний 1-й, буд. 348, Новий Буг, 36907",137 99 74,havrylobaklan@example.net
Шеремета,Зорян,Захарович,чоловіча,1992-11-26,Кінолог,село Бердянськ,"парк Матроська Слобідка, буд. 921 кв. 2, Нове Давидково, 29532",396 13 73,fhuz@example.org
Сірченко,Устим,Федорович,чоловіча,1999-03-31,Кіноактор,село Гайворон,"проспект Лінія 50-та, буд. 25 кв. 643, Глиняни, 67127",926-46-82,aartymyshyn@example.net
Тригуб,Мирон,Леонідович,чоловіча,1985-03-07,Піаніст,село Мелітополь,"шосе Карпатська, буд. 415, Новояворівськ, 92319",715-97-18,iakymchukzakhar@example.net
Теличенко,Пріска,Михайлівна,жіноча,2002-02-23,Маркетолог,село Пологи ,"провулок Лідерсівський, буд. 4 кв. 076, Біляївка, 78243",+380 (76) 330-24-91,androshchukmarko@example.org
